source,product_id,suggested_category,suggested_shop,brand,name,image_1,image_2,image_3,price,description
in_db,df866e74-c632-4083-964a-8322c150a421,Books,Casa Mia,,A Concise History of Greece,https://books.google.com/books/content?id=H5pyUIY4THYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,26.98,"This book provides a concise, illustrated introduction to the history of modern Greece, with a new final chapter about Greek history and politics to the present day. 56 illustrations. 10 maps."
in_db,7b046550-9b48-41d0-b9d3-b09277d84dc6,Books,Casa Mia,,Accounting for Sustainability,https://books.google.com/books/content?id=2OhgnuzJCk4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,18.35,"If businesses and other organizations are to meet the many and complex challenges of sustainable development, then they all, both public and private, need to embed sustainability considerations into their decision-making and reporting. However, the t"
in_db,6627120b-d2b1-44a2-ad68-c9a907ee337a,Books,Casa Mia,,Business,https://books.google.com/books/content?id=HYdxEW-J4RoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,25.7,"""Each entry begins with a definition of the term followed by an insightful description and discussion of the concept that is designed both to ground the subject firmly and outline engaging avenues of developments. The entries conclude with helpful cr"
in_db,5bd9850e-91f9-4809-bf6e-0c90aa3cfef6,Books,Casa Mia,,Business Research Methods,https://books.google.com/books/content?id=JesJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,18.43,"This best-selling text continues in its seventh edition to provide the most current and comprehensive coverage of business research. Its student-friendly design contains numerous examples illustrating real-world research in management, marketing, fin"
in_db,6e7a64a8-6981-4e37-b42e-16292adf21a3,Books,Casa Mia,,Caesar,https://books.google.com/books/content?id=YWRoAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,16.83,"In this landmark biography, Goldsworthy places Caesar firmly within the context of Roman society in the first century B.C."
in_db,5dd92412-d893-4eb5-9657-edceea79693c,Books,Casa Mia,,Damascus,https://books.google.com/books/content?id=SVR2cjWptCAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,31.91,"This is the first book in English to relate the history of Damascus, bringing out the crucial role the city has played at many points in the region's past. Damascus traces the history of this colourful, significant and complex city through its physic"
in_db,0a7ca2e8-586e-4a6f-a8e6-d3489a518f72,Books,Casa Mia,,Einstein,https://books.google.com/books/content?id=d2WZDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,8.33,"From Isaacson, the bestselling author of ""Benjamin Franklin,"" comes the first full biography of Albert Einstein since all his papers have become available--a fully realized portrait of a premier icon of his era."
in_db,ada00813-2d3d-40a9-a395-8613de135065,Books,Casa Mia,,Environmental Planning and Management,https://books.google.com/books/content?id=5a1gDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,35.5,This book focuses on environmental planning and management. Environmental problems are not purely scientific; some of the major problems deal with poor management and the inability to involve people in environmental decision making process. The appro
in_db,304e6166-0945-4be7-8fff-bd4282eb97b5,Books,Casa Mia,,Freedom in Exile,https://books.google.com/books/content?id=aeEKAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,28.81,The autobiography of the Dalai Lama who won the 1989 Nobel Peace Prize.
in_db,aa4639ab-f3dd-411c-b927-13f8a99736a9,Books,Casa Mia,,Freshwater Algae of North America,https://books.google.com/books/content?id=yjnLAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,34.64,"Freshwater Algae of North America: Ecology and Classification, Second Edition is an authoritative and practical treatise on the classification, biodiversity, and ecology of all known genera of freshwater algae from North America. The book provides es"
in_db,223e3aa4-3420-4cc6-9888-12db9488163f,Books,Casa Mia,,Fugitive Pieces,https://books.google.com/books/content?id=EIHmvTdDOVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,23.14,"A stunning debut novel from an award-winning poet. Jakob Beer, traumatically orphaned as a young child during World War II, learns over his lifetime the power of language to destroy, omit, and obliterate, and also to restore, conjure and witness, as "
in_db,e53791cd-d3b5-4d33-b7ba-1972fff71174,Books,Casa Mia,,Georg Cantor,https://books.google.com/books/content?id=n3t4b6GUlhAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,22.5,One of the greatest revolutions in mathematics occurred when Georg Cantor (1845-1918) promulgated his theory of transfinite sets. This revolution is the subject of Joseph Dauben's important studythe most thorough yet writtenof the philosopher and mat
in_db,737e37dc-a974-49d1-91d1-5c370651af1e,Books,Casa Mia,,"Homer's Iliad, Books XX., XXI. and XXII., with Engl. Notes and a Literal Translation",https://books.google.com/books/content?id=WoeivQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,31.41,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United St"
